2024-03-03 00:14:34.742355,NON,WITHOUT HELMET
2024-03-03 00:14:34.833669,NON,WITHOUT HELMET
2024-03-03 00:14:34.905863,NON,WITHOUT HELMET
2024-03-03 00:14:34.964200,NON,WITHOUT HELMET
2024-03-03 00:14:35.047372,NON,WITHOUT HELMET
2024-03-03 00:14:35.093055,NON,WITHOUT HELMET
2024-03-03 00:14:35.126063,NON,WITHOUT HELMET
2024-03-03 00:14:35.175528,NON,WITHOUT HELMET
2024-03-03 00:14:35.222482,NON,WITHOUT HELMET
2024-03-03 00:14:35.263649,NON,WITHOUT HELMET
2024-03-03 00:14:35.309616,NON,WITHOUT HELMET
2024-03-03 00:14:35.366664,NON,WITHOUT HELMET
2024-03-03 00:14:35.409510,NON,WITHOUT HELMET
2024-03-03 00:14:35.458252,NON,WITHOUT HELMET
2024-03-03 00:14:35.509479,NON,WITHOUT HELMET
2024-03-03 00:14:35.559373,NON,WITHOUT HELMET
2024-03-03 00:14:35.600107,NON,WITHOUT HELMET
2024-03-03 00:14:35.692151,THOTF',WITHOUT HELMET
2024-03-03 00:14:35.792482,JHOTE,WITHOUT HELMET
2024-03-03 00:14:35.909048,JHOIF,WITHOUT HELMET
2024-03-03 00:14:35.997818,E2496,WITHOUT HELMET
2024-03-03 00:14:36.109189,E2496,WITHOUT HELMET
2024-03-03 00:14:36.225525,E2496,WITHOUT HELMET
2024-03-03 00:14:36.314686,E2496,WITHOUT HELMET
2024-03-03 00:14:36.409005,E2496,WITHOUT HELMET
2024-03-03 00:14:36.524767,E2496,WITHOUT HELMET
2024-03-03 00:14:36.625487,E2496,WITHOUT HELMET
2024-03-03 00:14:36.712371,E2496,WITHOUT HELMET
2024-03-03 00:14:36.812843,E296,WITHOUT HELMET
2024-03-03 00:14:36.908660,E2496,WITHOUT HELMET
2024-03-03 00:14:36.999082,E2496,WITHOUT HELMET
2024-03-03 00:14:37.118813,E2496,WITHOUT HELMET
2024-03-03 00:14:37.225266,E2496,WITHOUT HELMET
2024-03-03 00:14:37.299783,E2496,WITHOUT HELMET
2024-03-03 00:14:37.377747,E2496,WITHOUT HELMET
2024-03-03 00:14:37.458182,E2496,WITHOUT HELMET
2024-03-03 00:14:37.525139,E2496,WITHOUT HELMET
2024-03-03 00:14:37.630014,E2496,WITHOUT HELMET
2024-03-03 00:14:37.725259,E2496,WITHOUT HELMET
2024-03-03 00:14:37.817819,E2496,WITHOUT HELMET
2024-03-03 00:14:37.921155,E2496,WITHOUT HELMET
2024-03-03 00:14:38.015972,E2496,WITHOUT HELMET
2024-03-03 00:14:38.115815,E2496,WITHOUT HELMET
2024-03-03 00:14:38.202269,E2496,WITHOUT HELMET
2024-03-03 00:14:38.296824,E2496,WITHOUT HELMET
2024-03-03 00:14:38.362191,E2496,WITHOUT HELMET
2024-03-03 00:14:38.445270,E2496,WITHOUT HELMET
2024-03-03 00:14:38.513000,E2496,WITHOUT HELMET
2024-03-03 00:14:38.590715,E2496,WITHOUT HELMET
2024-03-03 00:14:38.665319,E2496,WITHOUT HELMET
2024-03-03 00:14:38.745648,E2496,WITHOUT HELMET
2024-03-03 00:14:38.827820,E2496,WITHOUT HELMET
2024-03-03 00:14:38.947188,E2496,WITHOUT HELMET
2024-03-03 00:14:39.011819,HHEHB,WITHOUT HELMET
2024-03-03 00:14:39.098116,JJHONE,WITHOUT HELMET
2024-03-03 00:14:39.173924,EJHOTF,WITHOUT HELMET
2024-03-03 00:14:39.268446,E2496,WITHOUT HELMET
2024-03-03 00:14:39.344390,HHQBB,WITHOUT HELMET
2024-03-03 00:14:39.432656,62496,WITHOUT HELMET
2024-03-03 00:14:39.527565,JHE9B,WITHOUT HELMET
2024-03-03 00:14:39.594026,E2496,WITHOUT HELMET
2024-03-03 00:14:39.673917,HHEHE,WITHOUT HELMET
2024-03-03 00:14:39.754580,62496,WITHOUT HELMET
2024-03-03 00:14:39.858829,DEH,WITHOUT HELMET
2024-03-03 00:14:39.937078,329B,WITHOUT HELMET
2024-03-03 00:14:40.024414,E2496,WITHOUT HELMET
2024-03-03 00:14:40.117494,3E9B,WITHOUT HELMET
2024-03-03 00:14:40.194643,JHEE,WITHOUT HELMET
2024-03-03 00:14:40.264779,H29,WITHOUT HELMET
2024-03-03 00:14:40.325722,HE9,WITHOUT HELMET
2024-03-03 00:14:40.390282,8E9,WITHOUT HELMET
2024-03-03 00:14:40.467478,8H9B,WITHOUT HELMET
2024-03-03 00:14:40.541970,8290,WITHOUT HELMET
2024-03-03 00:14:40.610693,229B,WITHOUT HELMET
2024-03-03 00:14:40.681281,1E9,WITHOUT HELMET
2024-03-03 00:14:40.740202,JE,WITHOUT HELMET
2024-03-03 00:14:40.812823,HA,WITHOUT HELMET
2024-03-03 00:14:40.894536,JA,WITHOUT HELMET
2024-03-03 00:14:40.960770,096,WITHOUT HELMET
2024-03-03 00:14:41.056904,2B,WITHOUT HELMET
2024-03-03 00:14:41.148121,HH,WITHOUT HELMET
